"yr" "Mes" "Fecha" "Ciudad" "Temperatura"
1988 "octubre" "1988-10-01" "Bucaramanga" 20.7
1988 "noviembre" "1988-11-01" "Bucaramanga" 20.5
1988 "diciembre" "1988-12-01" "Bucaramanga" 19.5
1989 "enero" "1989-01-01" "Bucaramanga" 20.9
1989 "febrero" "1989-02-01" "Bucaramanga" 21.2
1989 "marzo" "1989-03-01" "Bucaramanga" 20
1989 "abril" "1989-04-01" "Bucaramanga" 21.7
1989 "mayo" "1989-05-01" "Bucaramanga" 21.2
1989 "junio" "1989-06-01" "Bucaramanga" 21.1
1989 "julio" "1989-07-01" "Bucaramanga" 21.3
1989 "agosto" "1989-08-01" "Bucaramanga" 21.3
1989 "septiembre" "1989-09-01" "Bucaramanga" 21.1
1989 "octubre" "1989-10-01" "Bucaramanga" 21
1989 "noviembre" "1989-11-01" "Bucaramanga" 21.2
1989 "diciembre" "1989-12-01" "Bucaramanga" 20.7
1990 "enero" "1990-01-01" "Bucaramanga" 20.6
1990 "febrero" "1990-02-01" "Bucaramanga" 20.5
1990 "marzo" "1990-03-01" "Bucaramanga" 21.1
1990 "abril" "1990-04-01" "Bucaramanga" 21.6
1990 "mayo" "1990-05-01" "Bucaramanga" 21.6
1990 "junio" "1990-06-01" "Bucaramanga" 22.2
1990 "julio" "1990-07-01" "Bucaramanga" 21.5
1990 "agosto" "1990-08-01" "Bucaramanga" 21.5
1990 "septiembre" "1990-09-01" "Bucaramanga" 21.7
1990 "octubre" "1990-10-01" "Bucaramanga" 20.9
1990 "noviembre" "1990-11-01" "Bucaramanga" 21.2
1990 "diciembre" "1990-12-01" "Bucaramanga" 21
1991 "enero" "1991-01-01" "Bucaramanga" 22.1
1991 "febrero" "1991-02-01" "Bucaramanga" 22.3
1991 "marzo" "1991-03-01" "Bucaramanga" 22.4
